Index,Review,Cleaned_Review,Cleaned_Name,Severity,Urgency,Customer_Satisfaction,Review_Days,Response_Days,Predicted_Category,Probabilities,Mapped_Category,Hygiene,Food Quality,Atmosphere,Value for Money,Service Issue,Positive Review,Food Options,Review_Date
137,"Worst food serving place in the town is probably ABs gachibowli. The meat (prawns, fish) are not properly cooked. Its got blunt taste. And sad part is they fool you by serving chicken seekh kabab by saving its mutton. Its my mistake to …",worst food serving place town probably abs gachibowli meat prawns fish properly cooked got blunt taste sad part fool serving chicken seekh kabab saving mutton mistake,deepak ramula,High,Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food']",[0.9895362257957458],['Food Quality'],0,1,0,0,0,0,0,07-11-2022
138,They are not giving any response to customer..☹️!!too late service they are not giving proper food to eat😡..!!nd they are fake 😡... recently few days back I have booked the table nd i have told for welcome surprise and she's told me ohk …,giving response customertoo late service giving proper food eatnd fake recently days back booked table nd told welcome surprise shes told ohk,amreen reshma,Medium,Non-Urgent,High Satisfaction,730,730,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Limited food options or menu variety']","[0.9970784783363342, 0.989192545413971, 0.968336284160614]","['Service Issue', 'Food Quality', 'Food Options']",0,1,0,0,1,0,1,07-11-2022
139,"One word.
Avoid.
Followed by many words of reasons to avoid. …",one word avoid followed many words reasons avoid,puneet soni,Low,Non-Urgent,High Satisfaction,730,730,"['Ambiance, noise levels, or atmosphere concerns']",[0.42034298181533813],['Atmosphere'],0,0,1,0,0,0,0,07-11-2022
140,"Just pathetic! No adequate starters provided. Only desserts were vanilla ice cream, gulab jamun and a pieces of cake. Nothing was given properly as per provided menu. Starters were okok.. definitely not like how it should be for the …",pathetic adequate starters provided desserts vanilla ice cream gulab jamun pieces cake nothing given properly per provided menu starters okok definitely like,gopi m,High,Urgent,No Response,1095,-1,"['Limited food options or menu variety', 'Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9917057752609253, 0.8810636401176453, 0.8702951669692993]","['Food Options', 'Service Issue', 'Food Quality']",0,1,0,0,1,0,1,07-11-2021
141,Absolutely ridiculous. Servers won't come and take main course order even though you keep calling them continuously. I have book a table for two. Ate starters and left without taking main course because of staff behaviour.  I Don't recommend this. Don't go and waste your money and time.,absolutely ridiculous servers wont come take main course order even though keep calling continuously book table two ate starters left without taking main course staff behaviour dont recommend dont go waste money time,bharath,Medium,Non-Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.9935507774353027],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
142,The non veg service is top notch they will ask you about the food and service. But why it's not same with veg people ? I had to call for a refill all the time atleast 3-4 times.  Seems they would not care. I understand that non veg has high …,non veg service top notch ask food service veg people call refill time atleast times seems would care understand non veg high,jayesh vyaasa vjayesh,Low,Non-Urgent,High Satisfaction,2555,2555,['Positive review'],[0.8061320185661316],['Positive Review'],0,0,0,0,0,1,0,08-11-2017
143,"Visited with office colleague. This time service was too slow. No one was answering any trivial question. Asked for butter-nan, it arrived after finishing main course. There are many other alternatives to this place and much better in same …",visited office colleague time service slow one answering trivial question asked butternan arrived finishing main course many alternatives place much better,vindhyeshwari kumar kashyap,Low,Non-Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.9934355616569519],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
144,"Food was average and they weren't serving to everyone, even though asked for basic ingredients like ketchup they were unresponsive and just leave the table as if they haven't listened. There were no varieties of food. …",food average werent serving everyone even though asked basic ingredients like ketchup unresponsive leave table havent listened varieties food,pothana asha,Medium,Non-Urgent,No Response,1460,-1,"['Limited food options or menu variety', 'Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9967387318611145, 0.9951803684234619, 0.855505645275116]","['Food Options', 'Service Issue', 'Food Quality']",0,1,0,0,1,0,1,07-11-2020
145,"The service people deosn't have minimum manners... me and our family guests are having our lunch and one service guy came and said ""time to leave the seat sir your time is exceeding in next 5 minutes. Plz leave""",service people deosnt minimum manners family guests lunch one service guy came said time leave seat sir time exceeding next minutes plz leave,d ibrahim,Medium,Non-Urgent,High Satisfaction,365,365,['Poor customer service or staff behavior'],[0.9956396222114563],['Service Issue'],0,0,0,0,1,0,0,07-11-2023
146,"Poor service,  worst customer handling,  tiny place with bad ambiance,  tasteless starters with one main course, over pulpy cut fruits, . Overall bad experience. …",poor service worst customer handling tiny place bad ambiance tasteless starters one main course pulpy cut fruits overall bad experience,hashim junaid,High,Urgent,No Response,1825,-1,"['Poor customer service or staff behavior', 'Limited food options or menu variety', 'Ambiance, noise levels, or atmosphere concerns']","[0.9987481832504272, 0.9969306588172913, 0.8244875073432922]","['Service Issue', 'Food Options', 'Atmosphere']",0,0,1,0,1,0,1,08-11-2019
147,I have visited with family yesterday.. food experience was good.. but the bday music have ruined the complete dinner.. every 5 min a different bday music is played n high volume which actually makes us leave early without enjoying ambience and food..,visited family yesterday food experience good bday music ruined complete dinner every min different bday music played n high volume actually makes us leave early without enjoying ambience food,mubeen ali,Low,Non-Urgent,High Satisfaction,730,730,"['Ambiance, noise levels, or atmosphere concerns']",[0.9952259063720703],['Atmosphere'],0,0,1,0,0,0,0,07-11-2022
148,"The place is not hygienic, the food is not tasty, but cheap, if you want to give a ""not interested to give"" party, you can go here. Out of the few starters served, we liked only chicken tikka & Corn. Shiek Mutton was not good. Fish was not …",place hygienic food tasty cheap want give interested give party go starters served liked chicken tikka corn shiek mutton good fish,pradeep edagotti,Low,Non-Urgent,No Response,1825,-1,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food', 'Cleanliness or hygiene issues', 'Concerns about pricing and value']","[0.993769645690918, 0.9792925715446472, 0.968578040599823, 0.9555259943008423]","['Food Options', 'Food Quality', 'Hygiene', 'Value for Money']",1,1,0,1,0,0,1,08-11-2019
149,"The worst barbeque ever placed in Hyderabad. There is no service at all. Only I've seen 2 servers for 50 people. U have to wait along for them to serve. They mostly serve cold food items, even it's veg or non-veg. Even they didn't provide …",worst barbeque ever placed hyderabad service ive seen servers people u wait along serve mostly serve cold food items even veg nonveg even didnt provide,satish kumar,High,Urgent,No Response,1460,-1,"['Poor customer service or staff behavior', 'Limited food options or menu variety', 'Quality, taste, or freshness issues with food']","[0.9933112859725952, 0.9932502508163452, 0.9626544117927551]","['Service Issue', 'Food Options', 'Food Quality']",0,1,0,0,1,0,1,07-11-2020
150,We went for team lunch of 27 people. The food was stale. Worst taste. Bad service. Extremely spicy. Bad ambience. Nthg ABT it which I can was nice.,went team lunch people food stale worst taste bad service extremely spicy bad ambience nthg abt nice,puja khandelwal,High,Urgent,No Response,730,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9777752757072449, 0.9462238550186157]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,07-11-2022
151,"It's totally worthless. There was no chicken butter masala, they didn't serve corn and pineapple barbeque until we insisted. Biryani too is hopeless thereby 1 stars.",totally worthless chicken butter masala didnt serve corn pineapple barbeque insisted biryani hopeless thereby stars,david benjamin kaveri,High,Urgent,High Satisfaction,730,730,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Concerns about pricing and value']","[0.9954477548599243, 0.9791092276573181, 0.9775745272636414, 0.8875992298126221]","['Food Options', 'Food Quality', 'Service Issue', 'Value for Money']",0,1,0,1,1,0,1,07-11-2022
152,Visited this place after about 2 years yesterday 1st Feb and to our surprise even after booking the table we were given some random where there is little A/C flow. Service is the worst hit. Starters were not served hot. Drinks we order …,visited place years yesterday st feb surprise even booking table given random little ac flow service worst hit starters served hot drinks order,sirisha reddy,High,Urgent,No Response,1095,-1,"['Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns']","[0.994880735874176, 0.8721944093704224]","['Service Issue', 'Atmosphere']",0,0,1,0,1,0,0,07-11-2021
153,For service I will rate 4/5 but for food taste 2.5 /5  what ever the cake they give for bday celebration  is really worst taste local bakery cakes are better n when it comes to stone ice there is only pan flavour is available but not other …,service rate food taste ever cake give bday celebration really worst taste local bakery cakes better n comes stone ice pan flavour available,celam akhilesh patel,Medium,Non-Urgent,High Satisfaction,1095,1095,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food']","[0.9636366963386536, 0.8202682733535767]","['Food Options', 'Food Quality']",0,1,0,0,0,0,1,07-11-2021
154,Worst experience with ambiance and services provided. No quality of food maintained. …,worst experience ambiance services provided quality food maintained,ratna sweetoo,High,Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns']","[0.9774743914604187, 0.9611877202987671, 0.9002883434295654]","['Food Quality', 'Service Issue', 'Atmosphere']",0,1,1,0,1,0,0,07-11-2022
155,"This branch will close soon. Record speed quality degrade. Was good earlier. Visited first time after lockdown, food bad. We booked table at 12 noon, not all food items in the buffet were ready even while we are coming out @ 1:45 pm. Manager response pathetic ( Just Lying).",branch close soon record speed quality degrade good earlier visited first time lockdown food bad booked table noon food items buffet ready even coming pm manager response pathetic lying,nagi reddy kaipu,Medium,Non-Urgent,No Response,1095,-1,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9930202960968018, 0.9676467776298523]","['Food Quality', 'Service Issue']",0,1,0,0,1,0,0,07-11-2021
156,"Team pls check for feedback with your own manager at gbowli ABs name is Vishal he knows what happened with service, billing time and what was promised failed. ABs sorry to say but game over soon for your establishment.",team pls check feedback manager gbowli abs name vishal knows happened service billing time promised failed abs sorry say game soon establishment,sashank pagadala,High,Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.980485200881958],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
157,"Very low quality & unhygienic food, no proper service.",low quality unhygienic food proper service,subhash reddy,Medium,Non-Urgent,No Response,210,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Cleanliness or hygiene issues']","[0.9929712414741516, 0.9417756199836731, 0.8418704867362976]","['Service Issue', 'Food Quality', 'Hygiene']",1,1,0,0,1,0,0,10-04-2024
158,"Worst service, too much noisy music, not at all concerned of customer request to play misic in low volume. Our group of 13 people were unable to chat as we could hardly hear each other. Water drops from ac duct. Food is served as if they are doing a charity. I would not visit this again.",worst service much noisy music concerned customer request play misic low volume group people unable chat could hardly hear water drops ac duct food served charity would visit,vijay krosuri,High,Urgent,No Response,1460,-1,"['Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns']","[0.9981698989868164, 0.9795352816581726]","['Service Issue', 'Atmosphere']",0,0,1,0,1,0,0,07-11-2020
159,"Just now visited AB s gachibowli, worst experience, got cockroach in non veg soup, unable to upload picture, as permissions denied
Even lots of dirt on plates, don't visit this branch",visited ab gachibowli worst experience got cockroach non veg soup unable upload picture permissions denied even lots dirt plates dont visit branch,aravelli priyanka,High,Urgent,High Satisfaction,365,365,"['Poor customer service or staff behavior', 'Cleanliness or hygiene issues', 'Quality, taste, or freshness issues with food']","[0.9947180151939392, 0.973901629447937, 0.9453389048576355]","['Service Issue', 'Hygiene', 'Food Quality']",1,1,0,0,1,0,0,07-11-2023
160,It was a very bad experience this time..over crowded.. quality of food was really bad. Most of the barbecue was burnt and the response from the waiter was that's how barbecue is made had to ask multiple times for one dish and wait in the …,bad experience timeover crowded quality food really bad barbecue burnt response waiter thats barbecue made ask multiple times one dish wait,venkatramana vudurbati,High,Urgent,No Response,1095,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Ambiance, noise levels, or atmosphere concerns']","[0.9957878589630127, 0.9949195384979248, 0.9623490571975708]","['Service Issue', 'Food Quality', 'Atmosphere']",0,1,1,0,1,0,0,07-11-2021
161,"Pathetic service and u will never find more congested restaurant. Staff r not friendly, plates r not clean (hygiene doesn't exist for them) .
Visit at your own risk",pathetic service u never find congested restaurant staff r friendly plates r clean hygiene doesnt exist visit risk,siva are,Medium,Non-Urgent,High Satisfaction,730,730,"['Poor customer service or staff behavior', 'Cleanliness or hygiene issues', 'Ambiance, noise levels, or atmosphere concerns']","[0.9986705183982849, 0.9907521605491638, 0.9431712627410889]","['Service Issue', 'Hygiene', 'Atmosphere']",1,0,1,0,1,0,0,07-11-2022
162,I went here with two people and there was live kitchen but then when it comes to food I would like to share about veg starters and I was really disappointed as 70% was tasteless even the buffet and the dessert is just so basic and low …,went two people live kitchen comes food would like share veg starters really disappointed tasteless even buffet dessert basic low,joe pawar,High,Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety']","[0.9868653416633606, 0.9820026755332947]","['Food Quality', 'Food Options']",0,1,0,0,0,0,1,07-11-2022
163,Such a worse experience..charging 700 and then giving a starter option with just 4 to 5 options. How can you keep just a single fish tikka in the menu without the prawns and tandoori.Adding to our frustation there was nothing there even the …,worse experiencecharging giving starter option options keep single fish tikka menu without prawns tandooriadding frustation nothing even,ankit a,High,Urgent,No Response,1095,-1,"['Limited food options or menu variety', 'Concerns about pricing and value', 'Poor customer service or staff behavior']","[0.990272581577301, 0.989449143409729, 0.9679137468338013]","['Food Options', 'Value for Money', 'Service Issue']",0,0,0,1,1,0,1,07-11-2021
164,"FYI: This review is for Absolute Barbecue's @Gachibowli.

Don't go on a weekend. Service is worst. They were getting the wish grill as if …",fyi review absolute barbecues gachibowli dont go weekend service worst getting wish grill,azmat azmat,High,Urgent,High Satisfaction,1825,1825,['Poor customer service or staff behavior'],[0.9898546934127808],['Service Issue'],0,0,0,0,1,0,0,08-11-2019
165,"Went on a sunday, food was underwhelming... place was full of smoke and no proper ventilation.... lot of waiting for food, food that was not worth it...  starters and desserts were the worst...  ppl pls avoid better to go for some other restaurant",went sunday food underwhelming place full smoke proper ventilation lot waiting food food worth starters desserts worst ppl pls avoid better go restaurant,sumit kumar,Medium,Non-Urgent,High Satisfaction,730,730,"['Ambiance, noise levels, or atmosphere concerns', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Concerns about pricing and value', 'Cleanliness or hygiene issues', 'Limited food options or menu variety']","[0.9950695633888245, 0.9860391020774841, 0.9813584685325623, 0.9273567199707031, 0.895946204662323, 0.8470792770385742]","['Atmosphere', 'Food Quality', 'Service Issue', 'Value for Money', 'Hygiene', 'Food Options']",1,1,1,1,1,0,1,07-11-2022
166,It was not a good experience. Food was ok. service was pathetic. It was like I am in a wedding in which food is over and I am late. I will suggest its not worth for 500 rs.,good experience food ok service pathetic like wedding food late suggest worth rs,sanchit shukla,Medium,Non-Urgent,No Response,730,-1,"['Poor customer service or staff behavior', 'Concerns about pricing and value', 'Quality, taste, or freshness issues with food', 'Limited food options or menu variety']","[0.993319571018219, 0.9855244159698486, 0.919608473777771, 0.7811453938484192]","['Service Issue', 'Value for Money', 'Food Quality', 'Food Options']",0,1,0,1,1,0,1,07-11-2022
167,"Very bad management. No cordination between. Food was also average. It is good if you are going first time to experience bbq. But overall. Very poor service, food and ambience.",bad management cordination food also average good going first time experience bbq overall poor service food ambience,himanshu bansal,Medium,Non-Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.9820073843002319],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
168,"These days the service and it was worst .
The food taste and standards were so low and dropped from intial days to 2022. Its very disappointing and frustrating to have a experience like this.",days service worst food taste standards low dropped intial days disappointing frustrating experience like,yaswanth kumar,High,Urgent,No Response,730,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9733707308769226, 0.9631471633911133]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,07-11-2022
169,"Wrost Servicing, no such varieties in Veg and that to very bad taste what they have served in Veg... Not spacious very conjsted.. Only one main course for both Veg & Non veg.. Too much disturbance can't even speak with next person who is …",wrost servicing varieties veg bad taste served veg spacious conjsted one main course veg non veg much disturbance cant even speak next person,kushal subbu,Medium,Non-Urgent,No Response,1825,-1,"['Limited food options or menu variety', 'Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Ambiance, noise levels, or atmosphere concerns']","[0.9968851208686829, 0.9940577149391174, 0.9897161722183228, 0.9298980832099915]","['Food Options', 'Service Issue', 'Food Quality', 'Atmosphere']",0,1,1,0,1,0,1,08-11-2019
170,"Plz guys ...the food is too worst , I just came out and giving feedback, staff are very good and supportive but the food starters yakk, biryani was good , ice creams will spoil the whole fun worst, we were having drinks and went to dance …",plz guys food worst came giving feedback staff good supportive food starters yakk biryani good ice creams spoil whole fun worst drinks went dance,supriya barman,Medium,Non-Urgent,No Response,1825,-1,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Limited food options or menu variety']","[0.9858690500259399, 0.8806834816932678, 0.7676219940185547]","['Food Quality', 'Service Issue', 'Food Options']",0,1,0,0,1,0,1,08-11-2019
171,"Bad food, terrible service. All starters were bone dry. Service was pathetic. Only good thing was the pan ice cream. We were a party of 12 and got the worst possible treatment. Avoid.",bad food terrible service starters bone dry service pathetic good thing pan ice cream party got worst possible treatment avoid,tapobrata bardhan,High,Urgent,High Satisfaction,730,730,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Limited food options or menu variety', 'Concerns about pricing and value']","[0.9934630393981934, 0.9648914933204651, 0.9302045702934265, 0.8199499249458313]","['Service Issue', 'Food Quality', 'Food Options', 'Value for Money']",0,1,0,1,1,0,1,07-11-2022
172,It was a bad experience. Ambience was poor. Spread was limited. Desserts were very limited. Place wasn't well maintained.,bad experience ambience poor spread limited desserts limited place wasnt well maintained,sweet anu,High,Urgent,High Satisfaction,730,730,"['Limited food options or menu variety', 'Ambiance, noise levels, or atmosphere concerns', 'Poor customer service or staff behavior']","[0.9884135127067566, 0.8970929980278015, 0.8031606078147888]","['Food Options', 'Atmosphere', 'Service Issue']",0,0,1,0,1,0,1,07-11-2022
173,The food was stored food ...not fresh one..the taste itself is showing that....service also not at all good..i suffered alot with vomiting after eating there.,food stored food fresh onethe taste showing thatservice also goodi suffered alot vomiting eating,varshini dasari,Low,Non-Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Cleanliness or hygiene issues']","[0.9962265491485596, 0.9927725791931152, 0.9312082529067993]","['Food Quality', 'Service Issue', 'Hygiene']",1,1,0,0,1,0,0,07-11-2022
174,I visited them last Wednesday and suffered stomach upset for the next three days. The chicken kebab they served was burnt and I realized that it was probably the leftover/stale meat that was reheated and served. The taste is nothing to talk …,visited last wednesday suffered stomach upset next three days chicken kebab served burnt realized probably leftoverstale meat reheated served taste nothing talk,ar prabhu,High,Urgent,High Satisfaction,1825,1825,"['Quality, taste, or freshness issues with food']",[0.9928674101829529],['Food Quality'],0,1,0,0,0,0,0,08-11-2019
175,"I am writing this, sitting right in the restaurant, they have more noise but pathetic food, very pathetic food quality.
Chicken tikka is not cooked well. No food is of good quality. …",writing sitting right restaurant noise pathetic food pathetic food quality chicken tikka cooked well food good quality,sai bharath,High,Urgent,No Response,1825,-1,"['Quality, taste, or freshness issues with food', 'Ambiance, noise levels, or atmosphere concerns']","[0.9856226444244385, 0.9465774893760681]","['Food Quality', 'Atmosphere']",0,1,1,0,0,0,0,08-11-2019
176,"The taste of AB's has drastically gone down.The starters for instance have no taste at times,panner is not marinated properly and the non veg starters are not great either.The buffet does not have too many varieties as it had before.It has …",taste abs drastically gone downthe starters instance taste timespanner marinated properly non veg starters great eitherthe buffet many varieties beforeit,yash jain,Low,Non-Urgent,No Response,2190,-1,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety']","[0.9934399127960205, 0.993439793586731]","['Food Quality', 'Food Options']",0,1,0,0,0,0,1,08-11-2018
177,Went here with lots of expectations... Bad food and bad service. Staff makes stories for not serving specific items for his knows what reason. Didn't like it. Had to leave before completing the meal.,went lots expectations bad food bad service staff makes stories serving specific items knows reason didnt like leave completing meal,shyamli gupta,High,Urgent,No Response,1825,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9978775978088379, 0.9100929498672485]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,08-11-2019
178,"Please have some time sense
Too much waiting
Ppl like us with busy time schedule can't spend this much time on waiting, no …",please time sense much waiting ppl like us busy time schedule cant spend much time waiting,bindupriya vaaldhaasi,Low,Non-Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.6913166642189026],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
179,"Worst place for bbq in hyd,, this location always accepts more than severvable capacity and cannot manage the crowd efficiently as a result.",worst place bbq hyd location always accepts severvable capacity manage crowd efficiently result,sai narayana,High,Urgent,High Satisfaction,365,365,"['Ambiance, noise levels, or atmosphere concerns']",[0.6899078488349915],['Atmosphere'],0,0,1,0,0,0,0,07-11-2023
180,"Hey brother, what a wonderful taste this chicken has cooked without hurrying??",hey brother wonderful taste chicken cooked without hurrying,chinnu pawar,Low,Non-Urgent,High Satisfaction,300,300,"['Positive review', 'Quality, taste, or freshness issues with food']","[0.9905770421028137, 0.925470769405365]","['Positive Review', 'Food Quality']",0,1,0,0,0,1,0,11-01-2024
181,Shiv Lal Jat,shiv lal jat,shivlaljat laljat,Medium,Non-Urgent,High Satisfaction,1825,1460,['Positive review'],[0.6824083924293518],['Positive Review'],0,0,0,0,0,1,0,08-11-2019
182,The barks,barks,manne ajay,Medium,Non-Urgent,High Satisfaction,1460,1460,"['Ambiance, noise levels, or atmosphere concerns']",[0.9297572374343872],['Atmosphere'],0,0,1,0,0,0,0,07-11-2020
183,fuddu,fuddu,tushar raina,Medium,Non-Urgent,High Satisfaction,2190,2190,"['Quality, taste, or freshness issues with food']",[0.7266427278518677],['Food Quality'],0,1,0,0,0,0,0,08-11-2018
184,Normal,normal,raju vishlavatha,Low,Non-Urgent,No Response,1460,-1,['Positive review'],[0.9434456825256348],['Positive Review'],0,0,0,0,0,1,0,07-11-2020
185,"AB's lost their name now.
No Verity for vegetarian food.
Non veg as well not much good. …",abs lost name verity vegetarian food non veg well much good,parthi durai,Low,Non-Urgent,No Response,60,-1,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food']","[0.9807496070861816, 0.9494688510894775]","['Food Options', 'Food Quality']",0,1,0,0,0,0,1,07-09-2024
186,"Taste is just average. service is average, may be bcoz of friday. If u want to try, can try it once. If you don't want to waste your money then skip this one and Better  go to Barbeque Nation.",taste average service average may bcoz friday u want try try dont want waste money skip one better go barbeque nation,kumar kk,Medium,Non-Urgent,No Response,60,-1,"['Quality, taste, or freshness issues with food', 'Concerns about pricing and value']","[0.9584701061248779, 0.9300628900527954]","['Food Quality', 'Value for Money']",0,1,0,1,0,0,0,07-09-2024
187,I Didn't Like The Taste Of The Food I Ordered Biryani It Just Taste Less And Also We Ordered Panner Biryani It Also Same I don't It might be it's only For that I felt Ambience Is Too Good Food Quantity Very Less They Play Songs Too Good But …,didnt like taste food ordered biryani taste less also ordered panner biryani also dont might felt ambience good food quantity less play songs good,karthik mettu,Low,Non-Urgent,No Response,120,-1,"['Quality, taste, or freshness issues with food', 'Ambiance, noise levels, or atmosphere concerns', 'Limited food options or menu variety']","[0.9906678795814514, 0.9549750089645386, 0.9285770058631897]","['Food Quality', 'Atmosphere', 'Food Options']",0,1,1,0,0,0,1,09-07-2024
188,"We ordered veg.
Gulab jamoon, moong dal halwa, deserts and kulfi are great.
Fruit and salad options are limited. …",ordered veg gulab jamoon moong dal halwa deserts kulfi great fruit salad options limited,nivea ankit shah,Low,Non-Urgent,No Response,150,-1,"['Limited food options or menu variety', 'Positive review']","[0.927521288394928, 0.8422311544418335]","['Food Options', 'Positive Review']",0,0,0,0,0,1,1,09-06-2024
189,This place started as a good BBQ option to the tried and tested BBQ Nation brand. Unfortunately they have failed miserably in scaling up after few years of operations. The quality of starters have gone down tremendously from earlier days …,place started good bbq option tried tested bbq nation brand unfortunately failed miserably scaling years operations quality starters gone tremendously earlier days,mrityunjay bhadauria,High,Urgent,No Response,2555,-1,"['Quality, taste, or freshness issues with food']",[0.9826091527938843],['Food Quality'],0,1,0,0,0,0,0,08-11-2017
190,Not much good. The food quality is not good. Service is great but taste and items are very bad.,much good food quality good service great taste items bad,sandeep sandy,Low,Non-Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food']",[0.9923712611198425],['Food Quality'],0,1,0,0,0,0,0,07-11-2022
191,Very congested place. Food is average and cold. Water leakage from vents.,congested place food average cold water leakage vents,kesani lakshmi vara prasad,High,Urgent,No Response,730,-1,"['Ambiance, noise levels, or atmosphere concerns', 'Quality, taste, or freshness issues with food']","[0.9049360156059265, 0.89972323179245]","['Atmosphere', 'Food Quality']",0,1,1,0,0,0,0,07-11-2022
192,"The food lacked imagination and innovation. we paid 8k for 8 people, at 1k per head the food and service was pathetic. not much options int he buffet menu. the place was dirty, plates were chipped and cracked. there are much better options in Hyderabad - Absolute Barbecues deserves our miss.",food lacked imagination innovation paid k people k per head food service pathetic much options int buffet menu place dirty plates chipped cracked much better options hyderabad absolute barbecues deserves miss,amandeep singh,High,Urgent,No Response,210,-1,"['Limited food options or menu variety', 'Concerns about pricing and value', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Cleanliness or hygiene issues']","[0.9978886246681213, 0.9915833473205566, 0.9808165431022644, 0.9792777299880981, 0.9374925494194031]","['Food Options', 'Value for Money', 'Food Quality', 'Service Issue', 'Hygiene']",1,1,0,1,1,0,1,10-04-2024
193,"We have visited AB’s Gachibowli today and it’s the worst ever experience I had for buffet, starters are uncooked and burnt completely outside and every item which is served there is full of salt. Staff service is good and ambience is ok ok",visited abs gachibowli today worst ever experience buffet starters uncooked burnt completely outside every item served full salt staff service good ambience ok ok,himabindu geddada,Low,Non-Urgent,No Response,180,-1,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9899876117706299, 0.9326712489128113]","['Food Quality', 'Service Issue']",0,1,0,0,1,0,0,10-05-2024
194,"Couldn't keep up on their promise. COVID safety - AB's promise on Covid safety is compromised at the Gachibowli. To ensure safety, I have called the restaurant they have promised that they are following all COVID19 safety protocols but the …",couldnt keep promise covid safety abs promise covid safety compromised gachibowli ensure safety called restaurant promised following covid safety protocols,naresh byra,Medium,Non-Urgent,High Satisfaction,1095,1095,['Poor customer service or staff behavior'],[0.7347285151481628],['Service Issue'],0,0,0,0,1,0,0,07-11-2021
195,I prefer bbq nation over this. The starters are par below average. Desserts are horrible. Main course is somewhat OK.,prefer bbq nation starters par average desserts horrible main course somewhat ok,chaitu chaitanya,High,Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food', 'Concerns about pricing and value', 'Limited food options or menu variety']","[0.9527772068977356, 0.9012401700019836, 0.7875015735626221]","['Food Quality', 'Value for Money', 'Food Options']",0,1,0,1,0,0,1,07-11-2022
196,"Too over rated, I found small roaches roaming on the table, I should have captured the picture.
Also food isn't that great, …",rated found small roaches roaming table captured picture also food isnt great,chaitanya bankuru,Low,Non-Urgent,High Satisfaction,365,365,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety']","[0.9615112543106079, 0.8581059575080872]","['Food Quality', 'Food Options']",0,1,0,0,0,0,1,07-11-2023
197,"Quality of the food served and options seem to be less compared to earlier and serving time is very slow. Didn’t expect this from ABs being a frequent goer to ABs, quite disappointed. The table we got is a worst place to dine in and no …",quality food served options seem less compared earlier serving time slow didnt expect abs frequent goer abs quite disappointed table got worst place dine,ravi tej,High,Urgent,High Satisfaction,365,365,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.981924831867218, 0.9797879457473755, 0.883721113204956]","['Food Options', 'Food Quality', 'Service Issue']",0,1,0,0,1,0,1,07-11-2023
